Rank,Country,Human_development_index,Life_expectancy_at_birth,Expected_years_of_schooling,Mean_year_of_schooling,Gross_national_income,Gross_National_income_minus_HDI,HDI_rank,AverageHDI_1990_2019,Inequality_adjusted_life_expectancy_index,Inequality_in_education,Inequality_adjusted_education_index,Inequality_in_income,Inequality_adjusted_income_index,Gender_Development_Index,Estimated_gross_national_income_per_capita,Maternal_mortality_ratio_2017,Adolescent_birth_rate_2015_2020,Share_of_seats_in_parliament,Labour_force_partici_rate ,Total_population_M, POP_Urban,Under_5,Ages_15_64,Ages_65_and_older,Median_age_2020,Label,,
73,Bosnia and Herzegovina,0.780,77.4,13.8,9.8,14872,7,76,..,0.835,17.0,0.590,20.2,0.603,0.937,10567,10,9.6,21.1,35.4,3.3,48.6,0.1,2.2,0.6,43.1,2,,
74,Grenada,0.779,72.4,16.9,9.0,15641,3,74,..,0.716,..,..,..,..,..,..,25,29.2,39.3,..,0.1,36.4,0.0,0.1,0.0,32.0,2,,
74,Mexico,0.779,75.1,14.8,8.8,19160,-8,76,0.59,0.758,18.4,0.574,33.4,0.529,0.960,12765,33,60.4,48.4,44.2,127.6,80.4,11.0,84.7,9.5,29.2,2,,
74,Saint Kitts and Nevis,0.779,74.8,13.8,8.7,25038,-17,75,..,..,..,..,..,..,..,..,..,..,13.3,..,0.1,30.8,..,..,..,..,2,,
74,Ukraine,0.779,72.1,15.1,11.4,13216,19,78,0.25,0.742,3.6,0.770,8.5,0.675,1.000,10088,19,23.7,20.5,46.7,44.0,69.5,2.2,29.6,7.3,41.2,2,,
78,Antigua and Barbuda,0.778,77.0,12.8,9.3,20895,-15,80,..,0.826,..,..,..,..,..,..,42,42.8,31.4,..,0.1,24.5,0.0,0.1,0.0,34.0,2,,
79,Peru,0.777,76.7,15.0,9.7,12252,19,78,0.82,0.779,17.0,0.614,28.6,0.519,0.957,9889,88,56.9,30.0,70.3,32.5,78.1,2.8,21.6,2.7,31.0,2,,
79,Thailand,0.777,77.2,15.0,7.9,17781,-10,80,1.03,0.810,18.3,0.557,23.8,0.596,1.008,15924,37,44.9,14.1,59.2,69.6,50.7,3.6,49.3,8.6,40.1,2,,
81,Armenia,0.776,75.1,13.1,11.3,13894,9,72,0.59,0.774,2.9,0.718,17.4,0.616,0.982,9737,26,21.5,23.5,47.1,3.0,63.2,0.2,2.0,0.3,35.4,2,,
82,North Macedonia,0.774,75.8,13.6,9.8,15865,-7,82,..,0.791,8.4,0.646,19.2,0.619,0.952,11698,7,15.7,39.2,43.0,2.1,58.2,0.1,1.4,0.3,39.1,2,,
83,Colombia,0.767,77.3,14.4,8.5,14257,3,83,0.83,0.787,18.6,0.555,35.5,0.483,0.989,11594,83,66.7,19.6,57.3,50.3,81.1,3.7,34.5,4.4,31.3,2,,
84,Brazil,0.765,75.9,15.4,8.0,14263,1,84,0.77,0.766,21.2,0.547,41.0,0.442,0.993,10535,60,59.1,15.0,54.2,211.0,86.8,14.6,147.2,19.5,33.5,2,,
85,China,0.761,76.9,14.0,8.1,16057,-11,87,1.47,0.806,11.7,0.580,27.4,0.557,0.957,12633,29,7.6,24.9,60.5,"1,433.8",60.3,85.0,"1,014.0",164.5,38.4,2,,
86,Ecuador,0.759,77.0,14.6,8.9,11044,19,84,0.55,0.776,13.9,0.605,29.9,0.498,0.967,7874,59,79.3,38.0,55.2,17.4,64.0,1.7,11.3,1.3,27.9,2,,
86,Saint Lucia,0.759,76.2,14.0,8.5,14616,-4,86,..,0.773,12.6,0.588,27.4,0.547,0.985,11476,117,40.5,20.7,59.5,0.2,18.8,0.0,0.1,0.0,34.5,2,,
